participant_id	age_group	group	pre_num_commission	pre_pct_commission	pre_num_omission	pre_pct_omission	pre_meanRT_go	pre_stdRT_go	pre_meanRT_goBeforeSuccessNogo	pre_meanRT_goBeforeFailedNogo	post_num_commission	post_pct_commission	post_num_omission	post_pct_omission	post_meanRT_go	post_stdRT_go	post_meanRT_goBeforeSuccessNogo	post_meanRT_goBeforeFailedNogo
sub-5001	ya	1	7	28	0	0	484.255	137.865097	538.6964286	384.8125	7	28	0	0	452.0964467	104.7082748	489.4333333	383.5
sub-5002	ya	1	13	52	0	0	361.435	71.50686646	366.3611111	343.4444444	9	36	0	0	381.3	56.56232452	387.5833333	369.2916667
sub-5003	ya	1	13	52	0	0	356.7575758	66.10951996	370.5	337.625	10	40	0	0	361.7070707	71.15325928	370.8653846	339.1
sub-5004	ya	1	15	60	1	0.5	393.4974874	101.3285904	412.4722222	364.8888889	6	24	0	0	407.99	80.93628693	408.1964286	428
sub-5005	ya	1	24	96	1	0.5	327.5561224	74.46431732	412	322.4558824	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5006	ya	1	21	84	0	0	356.0322581	132.842392	574.75	328.6470588	20	80	1	0.5	335.7289157	112.0173874	368.6875	267.6607143
sub-5007	ya	1	6	24	1	0.5	558.3535354	184.9455566	639.7833333	339.25	0	0	2	1	654.3535354	130.664505	633.9166667	n/a
sub-5008	ya	1	23	92	0	0	332.0974359	64.59664917	328.25	331.828125	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5009	ya	1	21	84	0	0	372.9	91.34863281	372.5	381.8035714	14	56	0	0	388.62	96.22714996	394.5625	366.55
sub-5010	ya	1	10	40	7	3.5	631.3687151	258.6351929	771.1136364	337.3	1	4	0	0	671.76	130.9934692	714.1176471	337.5
sub-5011	ya	1	16	64	3	1.5	356.1639344	77.00695801	351.0833333	350.425	10	40	3	1.5	426.7395833	153.5431976	453.1590909	361.0833333
sub-5012	ya	1	20	80	4	2	344.591716	90.82108307	426.9375	262.1346154	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5013	ya	1	23	92	12	6	334.2926829	184.3199615	138.5	253.1538462	23	92	22	11	373.4953271	190.6122894	n/a	285.2272727
sub-5014	ya	1	3	12	2	1	467.5837563	116.4002151	450.9264706	449.25	0	0	1	0.5	619.2964824	80.8957901	614.0138889	n/a
sub-5015	ya	1	14	56	0	0	417.5376884	77.93177032	429.0277778	373.1666667	11	44	0	0	484.040201	142.0298615	522.3181818	427.8214286
sub-5016	ya	1	7	28	1	0.5	473.5353535	87.03979492	461.75	427.4166667	3	12	2	1	604.5353535	109.7379761	628.359375	499.75
sub-5017	ya	1	22	88	3	1.5	346.8601036	66.44198608	338.875	342.5178571	23	92	0	0	346.7552083	120.8084793	365.125	335.90625
sub-5018	ya	1	8	32	1	0.5	433.2211055	74.88551331	447.125	402.75	8	32	0	0	457.21	129.3731537	480.3269231	369.65
sub-5019	ya	1	14	56	13	6.5	373.4244186	118.4242096	324.09375	343	19	76	5	2.5	320.1321839	93.9109726	321.7916667	282.775
sub-5020	ya	1	9	36	0	0	396.43	99.81755066	385.4090909	381.3928571	2	8	0	0	507.565	140.3988037	517.8125	428.375
sub-5021	ya	1	20	80	3	1.5	290.7619048	54.0065155	278.0625	265.1346154	4	16	1	0.5	465.6884422	117.4468842	461.9852941	381
sub-5022	ya	1	12	48	0	0	429.4773869	101.7147827	421.975	400.21875	12	48	1	0.5	411.0913978	107.2643509	428.875	330.21875
sub-5023	ya	1	0	0	2	1	695.7979798	110.8454361	673.2083333	n/a	0	0	0	0	610.43	112.6981354	588.8333333	n/a
sub-5024	ya	1	14	56	1	0.5	359.1538462	99.60517883	362.1388889	314.75	15	60	1	0.5	334.5284974	101.946167	369.53125	295.0555556
sub-5025	ya	1	3	12	1	0.5	577.0151515	101.1556778	588.5333333	517.4166667	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5026	ya	1	6	24	1	0.5	636.4924623	124.5043488	672.8666667	538.375	6	24	2	1	621.9340102	160.0173187	610.2166667	534.5833333
sub-5027	ya	1	20	80	2	1	314.1297297	65.01692963	300	292.5	22	88	7	3.5	294.4	62.21627426	229.3333333	258.8571429
sub-5028	ya	1	11	44	0	0	417.855	96.03116608	429.575	375.78125	4	16	0	0	517.79	114.8939056	539.75	401.1666667
sub-5029	ya	1	18	72	0	0	389.6769231	109.027153	409.85	383.75	2	8	1	0.5	595.4723618	126.9843979	652.2941176	389.25
sub-5030	ya	1	14	56	0	0	339.775	45.26287842	352.3055556	336.5	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5031	ya	1	6	24	0	0	423.815	69.47484589	432.9423077	390.75	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5032	ya	1	20	80	2	1	347.5625	68.26400757	359.7	321.25	19	76	3	1.5	383.2176471	129.4541321	342.95	346.3541667
sub-5033	ya	1	4	16	0	0	552.825	167.3489532	586.8166667	415.25	4	16	0	0	514.47	129.9422302	541.390625	369.375
sub-5034	ya	1	16	64	0	0	394.8865979	88.65785217	425.71875	375	5	20	1	0.5	465.8643216	95.73615265	491.1833333	403.9166667
sub-5035	ya	1	21	84	0	0	313.4827586	98.14976501	317.75	240.484375	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5036	ya	1	11	44	0	0	440.72	113.5355606	441.75	406.84375	17	68	0	0	387.9746193	84.08938599	379.2916667	380.4166667
sub-5037	ya	1	7	28	1	0.5	441.160804	107.2141037	441.8833333	476.5	8	32	0	0	389.67	54.39064789	393.5769231	400.1
sub-5038	ya	1	4	16	0	0	668.42	110.0379715	644.5178571	633.375	0	0	0	0	678.42	87.45654297	664.8888889	n/a
sub-5039	ya	1	3	12	2	1	482.6548223	99.62133789	490.0972222	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5040	ya	1	22	88	6	3	281.6363636	48.68637848	137	244.3823529	17	68	0	0	318.9484536	52.95914459	332.0625	284.875
sub-5041	ya	1	8	32	0	0	441.77	101.4029083	460.9615385	443.9	12	48	1	0.5	436.6030928	140.4187775	507.6111111	390.125
sub-5042	ya	1	18	72	1	0.5	364.989899	62.41046143	376.7857143	371.7272727	0	0	1	0.5	572.7336683	48.63235092	565.7222222	n/a
sub-5043	ya	1	11	44	1	0.5	383.6363636	84.36095428	408	372.1785714	14	56	1	0.5	386.4120603	112.5886917	391.575	399.8928571
sub-5044	ya	1	12	48	0	0	400.58	103.3245544	407.75	376.375	3	12	0	0	407.315	44.77734756	413.84375	393
sub-5045	ya	1	11	44	3	1.5	462.8638743	163.0745087	506.9444444	382.375	7	28	0	0	466.1938776	129.1614532	431.1785714	487.9375
sub-5046	ya	1	16	64	3	1.5	378.6935484	135.8267822	451.75	297.7272727	2	8	0	0	533.465	110.0080795	520.1111111	n/a
sub-5047	ya	1	1	4	1	0.5	665.1055276	131.965683	675.8235294	399.5	0	0	1	0.5	666.2361809	97.28044128	652.8194444	n/a
sub-5048	ya	1	23	92	7	3.5	311.5723684	122.6636276	223.75	274.296875	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5049	ya	1	19	76	7	3.5	313.5813953	72.94300842	310.45	247.8125	20	80	12	6	317.8181818	104.0434952	309.375	201.0555556
sub-5050	ya	1	10	40	1	0.5	386.8592965	90.56595612	393.4166667	352.2083333	15	60	0	0	361.055	86.39224243	348.0714286	322.7954545
sub-5051	ya	1	19	76	7	3.5	396.86	183.5184174	492.45	281.0454545	14	56	6	3	548.8222222	164.3708954	577.1388889	437.2142857
sub-5052	ya	1	20	80	4	2	316.3038674	72.85328674	332.8125	285.2307692	6	24	0	0	503.0301508	151.8774414	607.6346154	404.5
sub-5053	ya	1	21	84	6	3	327.3672316	74.83599854	326.5833333	301.0208333	20	80	13	6.5	308.6574074	117.8759232	189.9166667	229.475
sub-5054	ya	1	19	76	2	1	378.7291667	83.55441284	353.8125	375.5535714	17	68	0	0	372.9783784	85.81494904	351.75	347.2708333
sub-5055	ya	1	24	96	1	0.5	286.6553672	54.40065765	255.75	269.46875	18	72	1	0.5	308.8206522	87.34070587	300.375	297.3461538
sub-5056	ya	1	5	20	0	0	556.79	100.9811935	551.0625	509.125	7	28	1	0.5	506.7098446	160.125473	561.25	289.1
sub-5057	ya	1	15	60	8	4	388.8648649	105.7891541	373	377.8888889	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-5058	ya	1	8	32	1	0.5	482.0050505	136.2131195	521.1153846	415.8	9	36	1	0.5	499.4723618	109.051506	494.3846154	502.9
sub-5059	ya	1	6	24	0	0	494.9798995	90.1596756	501.671875	393	13	52	1	0.5	389.839196	60.8915596	401.9722222	358.5
sub-5060	ya	1	4	16	0	0	449.72	65.78930664	452.9861111	n/a	1	4	0	0	463	63.10062027	462.5735294	471.5
sub-5061	ya	1	21	84	1	0.5	324.3473684	81.19520569	376.5625	298.2115385	23	92	1	0.5	295.0842697	52.32113647	379	277.0625
sub-5062	ya	1	6	24	0	0	531.585	128.5417328	563.0833333	433	11	44	2	1	510.0505051	102.2063599	528.8055556	475.3125
sub-5063	ya	1	6	24	0	0	424.95	52.46647644	453.03125	359.5	8	32	0	0	426.215	53.03709412	436.3035714	418.4375
sub-6001	ya	2	20	80	4	2	342.7383721	101.5965881	378.6666667	314.375	23	92	6	3	352.3483146	97.19345093	376.25	325.9285714
sub-6002	ya	2	24	96	2	1	283.1284916	66.89485168	275.75	252.546875	24	96	1	0.5	264.4482759	67.88346863	247.5	245.1176471
sub-6003	ya	2	10	40	0	0	472.0050251	113.9162598	481.9545455	484.1785714	19	76	0	0	377.4564103	69.59486389	376.95	348.3076923
sub-6004	ya	2	17	68	3	1.5	349.893401	62.1297493	339.05	353.1041667	20	80	3	1.5	319.8680203	55.51955795	347.65	315.8636364
sub-6005	ya	2	22	88	6	3	330.2391304	100.1935654	351	330	7	28	0	0	588.0152284	179.4970703	626.9821429	364
sub-6006	ya	2	10	40	4	2	609.005102	202.4497986	699.3035714	437.125	6	24	2	1	494.4242424	106.3757401	528.3529412	448
sub-6007	ya	2	17	68	5	2.5	384.0104712	105.0317764	362.5	353.0416667	17	68	2	1	353.9368421	99.65775299	407.8125	347.5178571
sub-6008	ya	2	22	88	21	10.5	376.8045113	202.1335602	295.625	304.0909091	10	40	8	4	574.486911	174.2923737	628.75	420.75
sub-6009	ya	2	9	36	2	1	419.4	119.921257	398.2727273	390.9642857	0	0	0	0	555.775	84.49919891	553.8194444	n/a
sub-6010	ya	2	15	60	1	0.5	386.0151515	106.4487457	397.4642857	371.8863636	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-6011	ya	2	20	80	1	0.5	366.3834197	92.58294678	379.6	353.7916667	7	28	0	0	454.38	90.67095184	464.4	408.5
sub-6012	ya	2	8	32	25	12.5	537.1040462	157.3947144	556.2142857	453.75	5	20	2	1	456.8282828	63.83139801	480.421875	423.125
sub-6013	ya	2	8	32	0	0	515.11	98.55492401	517.4807692	453.3	2	8	1	0.5	599.9246231	116.3583298	587.6029412	495.75
sub-6014	ya	2	22	88	20	10	380.5175439	240.8215027	277.625	282.0227273	18	72	14	7	332.6947368	169.3323669	356.25	199.3541667
sub-6015	ya	2	17	68	0	0	337.1851852	68.72666168	352.625	314.4791667	10	40	0	0	414.425	95.71878052	463.55	322.46875
sub-6016	ya	2	21	84	5	2.5	380.5322581	111.9948425	380.125	338.3076923	18	72	6	3	374.875	106.9955063	381.65	331.2916667
sub-6017	ya	2	7	28	0	0	391.455	69.88999176	400.0535714	405.9375	0	0	0	0	518.725	89.3801651	546.1388889	n/a
sub-6018	ya	2	6	24	0	0	564.945	119.26754	551.0333333	529.25	5	20	0	0	700.77	127.526474	703.35	776.5
sub-6019	ya	2	3	12	0	0	611.405	83.39492798	621.6029412	561	3	12	0	0	578.94	97.87339783	589.015625	481
sub-6020	ya	2	14	56	3	1.5	393.3520408	95.14422607	411.40625	375.4375	13	52	0	0	404.9090909	91.46868134	406.225	401.65625
sub-6021	ya	2	5	20	1	0.5	547.6331658	144.8076172	609.2142857	435	1	4	0	0	597.855	118.9514236	598.1388889	n/a
sub-6022	ya	2	3	12	1	0.5	483.3636364	129.1228943	491.140625	400.875	5	20	1	0.5	490.9698492	111.9447403	512.4833333	432.0833333
sub-6023	ya	2	9	36	4	2	450.6428571	107.2453918	436.4791667	453.5	7	28	11	5.5	385.1375661	69.07413483	384.25	378.35
sub-6024	ya	2	8	32	1	0.5	432.678392	76.25566101	428.703125	401.5	2	8	0	0	423.96	51.12186813	431.984375	422.875
sub-6025	ya	2	10	40	0	0	369.6	79.52307129	368.9464286	349.1875	4	16	0	0	401.505	85.90750885	385.109375	401.375
sub-6026	ya	2	20	80	1	0.5	297.7765957	70.89273071	288.25	264.4464286	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-6027	ya	2	14	56	0	0	377.84	93.38726044	377.8	332.90625	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-6028	ya	2	17	68	1	0.5	376.638191	102.2783356	420.9166667	344.125	10	40	1	0.5	384.8061224	108.0333405	424.5555556	333.1666667
sub-6029	ya	2	21	84	22	11	311.2136752	113.5457382	153.75	232.8181818	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-6030	ya	2	23	92	2	1	354.6212121	82.95722961	309.875	344.390625	0	0	2	1	735	124.8031158	742.0416667	n/a
sub-6031	ya	2	16	64	1	0.5	358.5368421	101.8248596	403.6	296.5961538	19	76	5	2.5	317.9216867	112.7673416	301.9166667	262.2916667
sub-6032	ya	2	24	96	3	1.5	303.3439153	77.96557617	249.25	287.7794118	24	96	0	0	279.0923077	41.16038132	246.5	277.0441176
sub-6033	ya	2	22	88	6	3	346.1189189	110.5519562	361.75	312.6458333	16	64	14	7	414.005814	169.374054	366.5	401.4
sub-6034	ya	2	1	4	4	2	642.8	131.1514282	650.5138889	n/a	2	8	1	0.5	608.9045226	86.53104401	604.9264706	489.75
sub-6035	ya	2	11	44	2	1	369.1212121	82.2090683	391.9318182	389.0714286	15	60	1	0.5	368.5959596	81.69423676	365.675	343.96875
sub-6036	ya	2	7	28	1	0.5	465.5527638	124.8646393	459.2321429	386.0625	2	8	0	0	528.925	143.1917877	546.03125	477.125
sub-6037	ya	2	18	72	1	0.5	365.1989529	88.90315247	347.5833333	362.3541667	19	76	1	0.5	398.7938144	91.86709595	390.4	379.25
sub-6038	ya	2	12	48	1	0.5	350.7680412	82.74996948	341.6136364	323.6785714	17	68	10	5	347.7582418	99.7508316	341.9	336.15
sub-6039	ya	2	15	60	2	1	434.4473684	157.3994904	402.1428571	454.1818182	2	8	0	0	602.41	160.7681732	660.9264706	523
sub-6040	ya	2	4	16	1	0.5	488.0656566	149.2270508	491.7647059	403.25	3	12	0	0	477.965	130.9779816	523.4264706	330.5
sub-6041	ya	2	4	16	1	0.5	458.3115578	85.3800354	473.25	459.3333333	4	16	0	0	513.745	110.0038834	559.1166667	485.8333333
sub-6042	ya	2	6	24	10	5	605.6989247	206.9947968	660.7727273	522	22	88	13	6.5	535.6604938	248.8248901	707.25	465.7916667
sub-6043	ya	2	21	84	3	1.5	332.7486034	95.97769165	351.9375	310.9038462	19	76	4	2	319.2634409	76.50854492	316.55	312.1136364
sub-6044	ya	2	12	48	1	0.5	407.2060302	103.1780472	396.6875	402.6666667	6	24	0	0	419.36	83.46949005	427.2666667	364.5
sub-6045	ya	2	24	96	10	5	306.2352941	84.8835144	n/a	276.7321429	1	4	0	0	658.145	128.5364685	711.1029412	339.25
sub-6046	ya	2	15	60	0	0	363.7537688	92.88253784	366.9444444	340.7777778	16	64	0	0	342.2205128	78.8276062	354.03125	307.825
sub-6047	ya	2	15	60	0	0	359.45	64.16872406	362.3888889	359.4722222	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-6048	ya	2	7	28	0	0	444.355	102.5101013	434.4285714	369.125	5	20	0	0	431.6091371	85.38056946	467.6666667	332.3333333
sub-6049	ya	2	8	32	0	0	451.375	134.3816376	514.5454545	373.1071429	3	12	0	0	425.985	68.4604187	439.40625	368.75
sub-6050	ya	2	11	44	2	1	340.3787879	53.20349503	330.5	341.2777778	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-6051	ya	2	6	24	1	0.5	429.9045226	85.90643311	430.6	402.8333333	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-6052	ya	2	0	0	0	0	666.705	52.30628967	666.9166667	n/a	0	0	0	0	636.3	58.84943771	625.5833333	n/a
sub-6053	ya	2	9	36	0	0	365.36	52.35144424	359.7916667	326.25	8	32	0	0	379.205	62.03129959	367.25	389.6
sub-6054	ya	2	2	8	0	0	593.17	142.9625549	647.78125	513.5	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-6055	ya	2	1	4	0	0	627.0904523	127.2162018	603.3055556	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-6056	ya	2	22	88	1	0.5	345.6827957	77.4879303	330.875	336.4833333	24	96	3	1.5	312.1137725	81.07978821	209.5	298.8125
sub-6057	ya	2	15	60	1	0.5	370.9312169	76.935112	406.875	314	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-6058	ya	2	7	28	2	1	548.9747475	103.6154785	554.2083333	566.25	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-7001	oa	1	9	36	2	1	484.0964467	109.2968979	502.2916667	413.55	1	4	0	0	552.72	113.3830261	525.4722222	n/a
sub-7002	oa	1	9	36	9	4.5	496.4554974	128.9090881	497.1363636	470.4166667	5	20	0	0	498.44	63.94844437	501.05	460.1666667
sub-7003	oa	1	4	16	0	0	478.72	103.8456573	474.3	424.75	1	4	0	0	523.215	101.5957565	520.5833333	n/a
sub-7004	oa	1	9	36	0	0	474.985	110.375351	460.9464286	467.6875	8	32	3	1.5	459.372449	109.5782547	460.875	436.9166667
sub-7005	oa	1	19	76	7	3.5	394.4756098	138.9720917	306.3333333	359.1458333	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-7006	oa	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-7007	oa	1	0	0	4	2	746.4536082	93.87998199	745.5294118	n/a	6	24	0	0	436.24	54.7101326	445.1458333	431.875
sub-7008	oa	1	11	44	5	2.5	460.2410256	98.64352417	437.375	442.21875	5	20	0	0	463.105	69.24825287	469.125	447.5
sub-7009	oa	1	2	8	9	4.5	509.4526316	161.2360229	480.25	n/a	9	36	0	0	382.41	86.07996368	411.9583333	346.9583333
sub-7010	oa	1	7	28	1	0.5	471.7878788	104.9396973	474.1923077	419.7	6	24	0	0	463.865	78.26874542	480.5294118	382
sub-7011	oa	1	13	52	0	0	376.6080402	56.39217758	372.1363636	365.7857143	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-7012	oa	1	0	0	1	0.5	609.281407	96.07688904	591.0833333	n/a	4	16	3	1.5	517.4314721	114.0021515	532.265625	489.25
sub-7013	oa	1	6	24	1	0.5	528.6934673	167.9276886	546.1428571	392.75	10	40	2	1	494.4517766	123.7372284	513.25	394.75
sub-7014	oa	1	7	28	10	5	567.8842105	160.4825287	590	422.75	3	12	3	1.5	485.4873096	101.6214218	474.1666667	462.25
sub-7015	oa	1	8	32	1	0.5	459.9747475	111.6786728	452.25	504.375	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-7016	oa	1	20	80	8	4	573.989011	223.9933929	762.0833333	522.85	23	92	1	0.5	543.0478723	200.7127228	638.25	552.90625
sub-7017	oa	1	19	76	8	4	486.578125	138.744873	423.8333333	453.7142857	9	36	16	8	418.6758242	118.2330246	465.9772727	338
sub-7018	oa	1	13	52	8	4	398.8225806	132.2140503	395.6388889	354.5277778	8	32	3	1.5	454.3299492	136.8358765	481.8846154	395.9
sub-7019	oa	1	15	60	1	0.5	404.6111111	110.6171188	412.05	365.3125	15	60	0	0	381.9747475	94.95136261	395.375	359.125
sub-7020	oa	1	5	20	61	30.5	620.8776978	147.0012054	680.65	751.75	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-7022	oa	1	9	36	0	0	468.895	100.6469727	452.7857143	445.125	10	40	0	0	435.57	58.91826248	442.8392857	424.25
sub-7021	oa	1	7	28	1	0.5	509.8592965	162.466156	544.2142857	345.0833333	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-7023	oa	1	9	36	1	0.5	479.3417085	88.44523621	450.3653846	470.9375	9	36	0	0	456.485	59.85039902	455.4230769	461.35
sub-7024	oa	1	11	44	3	1.5	398.6142132	97.36907959	414.8611111	371.90625	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-7025	oa	1	2	8	0	0	665.645	125.6297836	682.3676471	464.25	16	64	1	0.5	422.6582915	102.9365997	426.25	417.4090909
sub-7026	oa	1	17	68	7	3.5	504.0994764	196.9095306	540.9166667	456.6071429	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-7027	oa	1	12	48	2	1	525.6818182	151.358963	551.15	499.75	9	36	1	0.5	465.5151515	100.9359131	466.6458333	470.2083333
sub-7028	oa	1	6	24	1	0.5	421.5808081	99.96395874	423.55	394.9166667	6	24	2	1	424.1616162	79.02620697	416.2794118	427.25
sub-7029	oa	1	6	24	0	0	425.28	101.4094238	440.28125	401.125	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-7030	oa	1	9	36	3	1.5	521.2704082	170.729248	529.2115385	460.1875	8	32	0	0	463.905	124.4828339	505.375	437.75
sub-7031	oa	1	16	64	3	1.5	444.7897436	109.7235107	478.75	406.0555556	6	24	0	0	462.63	68.98963928	466.6607143	429.9375
sub-7032	oa	1	15	60	15	7.5	450.9234973	126.0195541	456.375	392.125	12	48	8	4	438.1151832	141.8137665	448.0416667	421.25
sub-7033	oa	1	23	92	3	1.5	357.2795699	94.20861053	401.875	330.109375	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-7034	oa	1	4	16	1	0.5	623.2525253	125.4720917	614.3529412	603	2	8	1	0.5	661.8743719	135.7160187	703.7941176	n/a
sub-7035	oa	1	16	64	4	2	445.5927835	94.42706299	451	425.2	22	88	1	0.5	430.257732	93.27159882	451.25	414.09375
sub-7036	oa	1	19	76	0	0	316.3384615	64.98435974	329.85	315.1923077	13	52	0	0	385.685	69.33036041	385.8333333	384.75
sub-7037	oa	1	7	28	2	1	434.7525773	128.9929199	439.9642857	428.0833333	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-8001	oa	2	5	20	1	0.5	508.638191	141.2737885	548.4333333	369	0	0	0	0	711.645	100.6837387	704.9861111	n/a
sub-8002	oa	2	1	4	1	0.5	560.5454545	153.1743774	519.5147059	589.5	7	28	0	0	397.475	73.84405518	380.9642857	387.8125
sub-8003	oa	2	18	72	11	5.5	510.4277457	193.0746765	522.9375	470.1041667	7	28	2	1	535.6307692	164.5123596	586.7857143	439.1875
sub-8004	oa	2	0	0	3	1.5	761.1218274	94.84194946	776.6944444	n/a	10	40	2	1	407.969697	62.73608398	423.3571429	417.1875
sub-8005	oa	2	5	20	0	0	575.47	130.9095764	572.2166667	524.25	16	64	0	0	421.4438776	119.2021027	430.28125	380.825
sub-8006	oa	2	13	52	10	5	558.9709302	222.2595673	595.2708333	349.9166667	20	80	7	3.5	462.9382022	202.1703949	512.875	371.875
sub-8007	oa	2	1	4	1	0.5	665.2474747	120.3028946	653.1764706	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-8008	oa	2	5	20	2	1	503.1212121	140.9115601	492.8392857	509.75	6	24	0	0	468.4	72.3916626	477.3035714	434.25
sub-8009	oa	2	6	24	0	0	494.78	81.75844574	510.3653846	475.3	6	24	0	0	487.985	91.71511841	487.9333333	457.6666667
sub-8010	oa	2	16	64	6	3	406.7553191	109.4056091	426.25	374.25	1	4	0	0	690.2462312	94.10919189	658.9722222	n/a
sub-8011	oa	2	5	20	5	2.5	497.6102564	118.5590134	530.3833333	420.3333333	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-8012	oa	2	23	92	10	5	386.9365079	99.53630066	316.5	389.25	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-8013	oa	2	9	36	1	0.5	428.9698492	115.1389542	434.1041667	400.1666667	7	28	1	0.5	462.9547739	97.52328491	488.9285714	401.9375
sub-8014	oa	2	16	64	30	15	530.2352941	176.0770874	515.8333333	492.9722222	11	44	16	8	568.2320442	198.1420135	609.6785714	528.40625
sub-8015	oa	2	9	36	0	0	447.355	75.32381439	476.6730769	395.45	8	32	0	0	425.67	65.81694794	453.4038462	396.05
sub-8016	oa	2	18	72	21	10.5	579.4880952	223.5359802	740.9166667	503	20	80	7	3.5	471.5833333	163.5448761	559.75	439.35
sub-8017	oa	2	7	28	1	0.5	612.7929293	148.3408508	695.625	539.9375	0	0	7	3.5	788.2380952	111.5292206	791.625	n/a
sub-8018	oa	2	10	40	0	0	414.155	88.16704559	430.0416667	399.9583333	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-8019	oa	2	1	4	0	0	555.39	96.06309509	561.3472222	n/a	5	20	0	0	482.765	102.1690903	479.21875	451.875
sub-8020	oa	2	9	36	3	1.5	600.2284264	165.6251373	622.7083333	460.0625	6	24	10	5	576.1473684	171.5630341	649.9166667	464.4166667
sub-8021	oa	2	6	24	0	0	462.73	77.33200073	451.3333333	436.3333333	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-8022	oa	2	13	52	4	2	485.7230769	122.8934021	487.825	453.6428571	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-8023	oa	2	16	64	18	9	450.3011364	163.7590027	438.75	377.1428571	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-8024	oa	2	12	48	26	13	634.8816568	204.8952637	645.5416667	524.25	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-8025	oa	2	3	12	4	2	655.4761905	117.7112198	653.609375	649.625	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-8026	oa	2	18	72	1	0.5	402.7828283	99.48934937	375.8214286	404.375	20	80	0	0	375.8140704	80.29164124	407.75	370.7692308
sub-8027	oa	2	2	8	3	1.5	524.3076923	160.8904877	534.859375	466.25	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-8028	oa	2	15	60	3	1.5	432.1179487	135.305191	443.8333333	392.8541667	9	36	2	1	459.8375635	89.50301361	462.4583333	442.75
sub-8029	oa	2	4	16	0	0	388.255	65.73152161	393.875	329.5	8	32	0	0	404.26	90.81845856	399.3571429	363.75
sub-8030	oa	2	0	0	1	0.5	673.281407	107.4916534	667.5138889	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-8031	oa	2	5	20	1	0.5	525.3366834	130.1656036	546.4615385	434.6875	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-8032	oa	2	20	80	3	1.5	377.9336735	75.29164124	384.05	384.2291667	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-8033	oa	2	9	36	4	2	544.2435233	137.7274475	559	455.5	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-8034	oa	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-8035	oa	2	18	72	5	2.5	448.4461538	129.002243	446.2	441.0681818	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a