participant_id	group	age_category	item	wk4_setview	pic_set	old_new	qualtrics_num	naps_id	naps_category	valence	response	correct	response_result
8008	2	2	1	B	A	new	1_Q8	Animals_106_h	Animals	2	4	1	hit
8008	2	2	2	B	A	new	2_Q8	Animals_117_h	Animals	2	4	1	hit
8008	2	2	3	B	B	old	3_Q8	Animals_165_h	Animals	2	3	1	hit
8008	2	2	4	B	B	old	4_Q8	Animals_175_h	Animals	2	1	1	hit
8008	2	2	5	B	A	new	5_Q8	Animals_197_h	Animals	2	4	1	hit
8008	2	2	6	B	B	old	6_Q8	Faces_132_h	Faces	2	1	1	hit
8008	2	2	7	B	A	new	7_Q8	Faces_134_h	Faces	2	4	1	hit
8008	2	2	8	B	A	new	8_Q8	Faces_234_h	Faces	2	4	1	hit
8008	2	2	9	B	A	new	9_Q8	Faces_261_v	Faces	2	4	1	hit
8008	2	2	10	B	B	old	10_Q8	Faces_321_h	Faces	2	1	1	hit
8008	2	2	11	B	B	old	11_Q8	Faces_361_v	Faces	2	4	0	miss
8008	2	2	12	B	B	old	12_Q8	Objects_037_h	Objects	2	1	1	hit
8008	2	2	13	B	B	old	13_Q8	Objects_069_h	Objects	2	3	1	hit
8008	2	2	14	B	B	old	14_Q8	Objects_078_h	Objects	2	3	1	hit
8008	2	2	15	B	A	new	15_Q8	Objects_080_h	Objects	2	4	1	hit
8008	2	2	16	B	B	old	16_Q8	Objects_171_h	Objects	2	3	1	hit
8008	2	2	17	B	A	new	17_Q8	Objects_264_v	Objects	2	4	1	hit
8008	2	2	18	B	A	new	18_Q8	Objects_291_h	Objects	2	4	1	hit
8008	2	2	19	B	B	old	19_Q8	People_096_h	People	2	4	0	miss
8008	2	2	20	B	B	old	20_Q8	People_130_h	People	2	4	0	miss
8008	2	2	21	B	A	new	21_Q8	People_175_h	People	2	4	1	hit
8008	2	2	22	B	A	new	22_Q8	People_183_h	People	2	4	1	hit
8008	2	2	23	B	B	old	23_Q8	People_189_h	People	2	3	1	hit
8008	2	2	24	B	A	new	24_Q8	People_196_h	People	2	4	1	hit
8008	2	2	25	B	B	old	25_Q8	Animals_082_h	Animals	1	4	0	miss
8008	2	2	26	B	A	new	26_Q8	Animals_088_h	Animals	1	4	1	hit
8008	2	2	27	B	B	old	27_Q8	Animals_093_h	Animals	1	4	0	miss
8008	2	2	28	B	A	new	28_Q8	Animals_105_h	Animals	1	4	1	hit
8008	2	2	29	B	A	new	29_Q8	Animals_209_h	Animals	1	4	1	hit
8008	2	2	30	B	B	old	30_Q8	Faces_167_v	Faces	1	1	1	hit
8008	2	2	31	B	A	new	31_Q8	Faces_187_v	Faces	1	4	1	hit
8008	2	2	32	B	B	old	32_Q8	Faces_197_v	Faces	1	1	1	hit
8008	2	2	33	B	A	new	33_Q8	Faces_220_h	Faces	1	4	1	hit
8008	2	2	34	B	B	old	34_Q8	Faces_306_v	Faces	1	1	1	hit
8008	2	2	35	B	A	new	35_Q8	Landscapes_012_h	Landscapes	1	4	1	hit
8008	2	2	36	B	A	new	36_Q8	Landscapes_016_h	Landscapes	1	4	1	hit
8008	2	2	37	B	B	old	37_Q8	Landscapes_019_h	Landscapes	1	1	1	hit
8008	2	2	38	B	B	old	38_Q8	Landscapes_060_h	Landscapes	1	1	1	hit
8008	2	2	39	B	A	new	39_Q8	Landscapes_111_h	Landscapes	1	4	1	hit
8008	2	2	40	B	A	new	40_Q8	Objects_112_h	Objects	1	4	1	hit
8008	2	2	41	B	A	new	41_Q8	Objects_186_v	Objects	1	4	1	hit
8008	2	2	42	B	B	old	42_Q8	Objects_210_h	Objects	1	1	1	hit
8008	2	2	43	B	B	old	43_Q8	Objects_237_h	Objects	1	3	1	hit
8008	2	2	44	B	B	old	44_Q8	Objects_251_v	Objects	1	1	1	hit
8008	2	2	45	B	B	old	45_Q8	People_104_h	People	1	3	1	hit
8008	2	2	46	B	A	new	46_Q8	People_146_h	People	1	4	1	hit
8008	2	2	47	B	A	new	47_Q8	People_149_h	People	1	4	1	hit
8008	2	2	48	B	B	old	48_Q8	People_159_h	People	1	1	1	hit
8008	2	2	49	B	B	old	49_Q8	Animals_017_v	Animals	3	3	1	hit
8008	2	2	50	B	B	old	50_Q8	Animals_029_v	Animals	3	1	1	hit
8008	2	2	51	B	A	new	51_Q8	Animals_049_h	Animals	3	4	1	hit
8008	2	2	52	B	A	new	52_Q8	Animals_053_h	Animals	3	4	1	hit
8008	2	2	53	B	A	new	53_Q8	Animals_064_v	Animals	3	1	0	fa
8008	2	2	54	B	B	old	54_Q8	Faces_011_h	Faces	3	1	1	hit
8008	2	2	55	B	A	new	55_Q8	Faces_151_v	Faces	3	4	1	hit
8008	2	2	56	B	B	old	56_Q8	Faces_173_v	Faces	3	4	0	miss
8008	2	2	57	B	A	new	57_Q8	Faces_175_v	Faces	3	4	1	hit
8008	2	2	58	B	B	old	58_Q8	Faces_303_h	Faces	3	4	0	miss
8008	2	2	59	B	A	new	59_Q8	Landscapes_004_h	Landscapes	3	4	1	hit
8008	2	2	60	B	B	old	60_Q8	Landscapes_006_h	Landscapes	3	1	1	hit
8008	2	2	61	B	A	new	61_Q8	Landscapes_010_h	Landscapes	3	4	1	hit
8008	2	2	62	B	B	old	62_Q8	Landscapes_017_h	Landscapes	3	3	1	hit
8008	2	2	63	B	A	new	63_Q8	Landscapes_028_h	Landscapes	3	4	1	hit
8008	2	2	64	B	A	new	64_Q8	Objects_110_v	Objects	3	4	1	hit
8008	2	2	65	B	B	old	65_Q8	Objects_144_h	Objects	3	1	1	hit
8008	2	2	66	B	A	new	66_Q8	Objects_145_h	Objects	3	4	1	hit
8008	2	2	67	B	B	old	67_Q8	Objects_188_v	Objects	3	3	1	hit
8008	2	2	68	B	B	old	68_Q8	People_012_h	People	3	3	1	hit
8008	2	2	69	B	B	old	69_Q8	People_082_h	People	3	4	0	miss
8008	2	2	70	B	B	old	70_Q8	People_085_h	People	3	1	1	hit
8008	2	2	71	B	A	new	71_Q8	People_119_h	People	3	4	1	hit
8008	2	2	72	B	A	new	72_Q8	People_197_h	People	3	3	0	fa
